,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
19034,2017-10-10,1105748,413804.19,147686,192780.00,4.0,2.0,1610.0,5461.0,243073.0,79,76,2017,0.0,4.0,1.0,205200.0
19054,2017-10-10,1110460,8762.79,105057,14217.15,1.0,1.0,709.0,0.0,786500.0,79,70,2016,1.0,1.0,4.0,14300.0
19103,2017-10-06,1108142,25030.0,87264,26800.00,2.0,2.0,1315.0,0.0,111558.0,67,36,2016,1.0,1.0,3.0,60100.0
19115,2017-10-06,1109823,351884.1,359400,353678.34,2.0,2.0,2154.0,0.0,375800.0,67,67,2017,1.0,3.5,1.0,353700.0
19127,2017-10-06,1110291,129959.52,87980,62812.76,1.0,1.0,576.0,0.0,100059.0,67,61,2017,1.0,4.0,1.0,88100.0
19173,2017-10-05,1100939,28284.34,80000,28284.34,1.0,1.0,830.0,0.0,93086.0,51,25,2016,1.0,1.0,2.0,45600.0
19183,2017-10-05,1106744,1340494.31,1563668,1340494.31,5.0,5.0,4208.0,11382.0,1726150.0,51,15,2016,0.0,2.0,3.0,1371100.0
19224,2017-10-04,1103894,265083.61,230059,274648.48,3.0,2.0,1421.0,5002.0,283179.0,57,31,2015,0.0,2.0,2.0,274700.0
19245,2017-10-03,1098317,364758.29,154688,192780.00,4.0,2.0,1610.0,6101.0,248837.0,55,50,2016,0.0,9.0,1.0,205600.0
19255,2017-10-03,1104187,109862.89,161879,111243.82,3.0,1.0,851.0,1.0,171523.0,55,49,2016,0.0,3.0,1.0,146200.0
19277,2017-10-03,1092534,202423.95,178900,139251.30,1.0,1.0,442.0,0.0,231126.0,55,37,2016,1.0,11.0,1.0,146000.0
19305,2017-10-02,1091755,391622.88,212322,190000.00,3.0,2.0,1434.0,4500.0,241341.0,70,53,2016,0.0,4.0,1.0,200100.0
19362,2017-09-29,1108086,353129.36,104884,189500.00,3.0,2.0,1706.0,1896.0,224310.0,27,25,2017,1.0,12.0,1.0,192800.0
19374,2017-09-29,1107765,253338.25,159000,145237.24,3.0,2.0,1558.0,0.0,251211.0,27,23,2016,1.0,5.0,1.0,156600.0
19445,2017-09-26,1107283,111460.62,73746,43528.48,1.0,1.0,670.0,0.0,89271.0,57,41,2016,1.0,3.0,1.0,68200.0
19462,2017-09-26,1106942,194195.51,241120,194195.51,0.0,0.0,1979.0,12600.0,356978.0,57,5,2009,0.0,2.0,3.0,194200.0
19465,2017-09-26,1106412,112361.13,194865,108000.00,3.0,2.0,1302.0,4480.0,185461.0,57,33,2016,0.0,4.0,2.0,150900.0
19468,2017-09-26,1107779,103003.06,142200,104208.10,2.0,2.0,970.0,0.0,151075.0,57,54,2017,1.0,5.0,1.0,105100.0
19473,2017-09-26,1107595,233226.63,172951,104900.00,3.0,1.0,1199.0,7500.0,221573.0,57,47,2017,0.0,5.0,1.0,181600.0
19511,2017-09-25,1102977,277468.25,121655,89350.00,4.0,3.0,1461.0,7500.0,144014.0,55,43,2016,0.0,4.0,2.0,110100.0
20110,2017-09-06,1101126,209701.14,105057,106110.00,1.0,1.0,709.0,0.0,152039.0,42,38,2016,1.0,6.0,1.0,106200.0
20133,2017-09-06,1103300,3564.57,167050,3564.57,3.0,2.0,1402.0,1772.0,209966.0,42,42,2017,1.0,1.0,1.0,17100.0
20158,2017-09-05,1103340,432451.28,307035,272160.00,3.0,1.0,1355.0,7875.0,366688.0,53,6,2010,0.0,2.0,4.0,300200.0
20194,2017-09-01,1092014,315653.05,183456,118260.00,3.0,1.0,1358.0,5500.0,173044.0,23,18,2016,0.0,2.0,1.0,146000.0
20195,2017-09-01,1091948,352607.84,159459,235700.00,3.0,2.0,962.0,6000.0,315123.0,23,21,2017,1.0,3.0,1.0,270200.0
20202,2017-09-01,1091935,199600.81,88000,65000.00,2.0,1.0,863.0,0.0,82843.0,23,4,2013,1.0,5.0,1.0,65100.0
20204,2017-09-01,1091953,311905.63,301916,291600.00,6.0,4.0,3379.0,6000.0,351666.0,23,20,2017,1.0,4.0,1.0,291700.0
