,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
8619,2019-02-12,1192850,14249.15,91290,14249.15,2.0,2.0,940.0,116374.0,21,21,2018,3.0,1.0,14300.0
8679,2019-02-11,1189011,49425.01,95000,49425.01,2.0,2.0,1040.0,126162.0,58,32,2016,1.0,2.0,50200.0
8687,2019-02-11,1187703,157052.54,207000,160266.68,3.0,2.0,1207.0,255421.0,58,49,2018,6.0,2.0,186100.0
8691,2019-02-11,1191077,157414.01,146300,156581.15,0.0,0.0,1300.0,231104.0,58,57,2018,2.0,1.0,156600.0
8750,2019-02-04,1188344,126615.71,105000,86830.21,1.0,1.0,870.0,171847.0,65,11,2015,5.0,2.0,90800.0
8869,2019-01-28,1186465,666373.76,233783,229500.00,1.0,1.0,760.0,315646.0,75,51,2017,5.0,1.0,229600.0
8969,2019-01-22,1187872,119386.15,100425,85555.00,1.0,1.0,855.0,133367.0,126,102,2018,5.0,1.0,86000.0
9021,2019-01-22,1187878,802649.06,402040,360300.00,3.0,2.0,1416.0,634612.0,126,26,2014,3.0,1.0,360400.0
9091,2019-01-16,1185556,39490.87,226100,60427.92,1.0,1.0,1026.0,326664.0,54,42,2017,2.0,4.0,60500.0
9370,2019-01-08,1181726,349480.84,133515,157080.00,2.0,1.0,610.0,173615.0,155,34,2014,2.0,2.0,157100.0
9429,2019-01-08,1179641,316562.53,200550,186893.75,4.0,3.0,1500.0,250750.0,155,69,2016,3.0,2.0,199100.0
9461,2019-01-07,1184913,31300.67,71797,32300.00,2.0,1.0,1036.0,102096.0,203,123,2017,5.0,1.0,36500.0
9525,2019-01-07,1176858,350295.89,379477,350295.89,2.0,2.0,1882.0,747358.0,203,166,2018,4.0,1.0,382000.0
9552,2019-01-07,1173431,167155.56,104908,92262.81,1.0,1.0,635.0,386100.0,203,107,2017,7.0,1.0,98600.0
9625,2019-01-07,1184553,184329.54,128260,113400.00,2.0,2.0,939.0,156307.0,203,62,2016,5.0,2.0,113500.0
9680,2018-12-11,1182707,277038.43,170100,169600.00,2.0,1.0,677.0,229620.0,19,4,2015,5.0,3.0,170100.0
9810,2018-12-05,1180362,228418.73,159000,151200.00,2.0,1.0,958.0,186560.0,52,10,2012,4.0,3.0,151300.0
9824,2018-12-04,1181456,152921.09,113700,82500.00,2.0,2.0,1156.0,125862.0,20,7,2016,7.0,3.0,105400.0
9917,2018-12-03,1181400,233790.55,89612,156330.00,4.0,2.0,1716.0,203431.0,138,135,2018,3.0,1.0,156400.0
10015,2018-11-26,1171108,306853.48,140000,131750.00,2.0,1.0,861.0,225385.0,93,50,2016,3.0,1.0,131800.0
10135,2018-11-20,1179490,240296.22,107635,80200.00,2.0,1.0,634.0,119488.0,24,5,2015,3.0,1.0,88100.0
