,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
15518,2018-03-21,1136867,541805.74,261200,319440.00,3.0,2.0,1540.0,7500.0,345109.0,72,11,2011,0.0,15.0,4.0,0.0
15522,2018-03-21,1137366,202580.3,184549,176840.00,3.0,2.0,1311.0,8307.0,215390.0,72,52,2016,0.0,2.0,2.0,1.0
15524,2018-03-21,1137365,356935.25,139347,357000.00,3.0,2.0,1644.0,10340.0,371268.0,72,20,2013,0.0,3.0,8.0,0.0
15525,2018-03-21,1136883,284458.89,187110,144000.00,4.0,2.0,1300.0,7524.0,198124.0,72,23,2014,0.0,2.0,4.0,1.0
15527,2018-03-21,1136645,469377.63,160262,494753.28,4.0,2.0,1600.0,3806.0,325103.0,72,38,2015,0.0,2.0,3.0,1.0
15533,2018-03-21,1137228,16283.2,357319,20210.07,0.0,0.0,1760.0,0.0,721845.0,72,62,2017,1.0,1.0,4.0,1.0
15538,2018-03-21,1137167,628880.62,1082765,661674.17,2.0,2.0,2055.0,13900.0,1008003.0,72,4,2010,0.0,2.0,11.0,0.0
15540,2018-03-21,1137868,182284.24,330257,183582.25,1.0,1.0,816.0,0.0,331673.0,72,59,2017,1.0,4.0,2.0,0.0
15542,2018-03-21,1138494,323240.22,344391,325731.07,4.0,3.0,1984.0,6000.0,416514.0,72,54,2016,0.0,2.0,1.0,1.0
15544,2018-03-21,1137182,267135.94,201600,198200.00,0.0,1.0,407.0,0.0,321504.0,72,28,2014,1.0,7.0,7.0,0.0
15546,2018-03-21,1137571,55720.71,242832,56407.16,3.0,3.0,1334.0,6045.0,289323.0,72,68,2017,0.0,5.0,1.0,1.0
15556,2018-03-21,1137353,258403.62,194454,136334.68,4.0,2.0,1176.0,8325.0,200892.0,72,2,2009,0.0,6.0,2.0,1.0
15560,2018-03-21,1138164,188488.17,223927,189687.52,3.0,2.0,1353.0,4250.0,298370.0,72,39,2015,0.0,8.0,1.0,1.0
15562,2018-03-21,1136882,341966.65,171249,213000.00,3.0,2.0,1349.0,6700.0,265293.0,72,35,2015,1.0,6.0,16.0,1.0
15568,2018-03-20,1139141,254408.81,111089,104447.93,2.0,2.0,804.0,0.0,158709.0,21,5,2015,1.0,10.0,1.0,1.0
15574,2018-03-20,1137626,562424.04,292715,264900.00,4.0,2.0,1612.0,6750.0,329190.0,21,4,2013,0.0,3.0,9.0,1.0
15575,2018-03-20,1133807,248868.77,298772,220000.00,3.0,2.0,2219.0,8040.0,336440.0,21,10,2015,0.0,2.0,2.0,1.0
15576,2018-03-20,1138191,12770.19,115280,12770.19,2.0,2.0,1024.0,0.0,151903.0,21,19,2017,1.0,1.0,5.0,0.0
15580,2018-03-20,1125175,255439.35,263000,255439.35,3.0,2.0,1753.0,2334.0,299499.0,21,13,2016,1.0,3.0,2.0,0.0
15592,2018-03-19,1121278,431926.17,316923,338446.95,3.0,2.0,1866.0,8420.0,380321.0,64,53,2017,0.0,2.0,1.0,0.0
15594,2018-03-19,1133995,403047.15,274440,193325.66,4.0,3.0,1880.0,4400.0,333720.0,64,58,2017,1.0,4.0,1.0,1.0
15595,2018-03-19,1133195,625036.48,490525,625036.48,4.0,2.0,4724.0,89733.6,541895.0,64,38,2016,1.0,6.0,5.0,0.0
15597,2018-03-19,1133552,175737.52,201019,183956.33,3.0,2.0,1104.0,2714.0,244498.0,64,39,2016,1.0,9.0,6.0,0.0
15602,2018-03-19,1130972,464932.14,227000,365092.16,3.0,2.0,1589.0,1.0,294996.0,64,6,2012,1.0,6.0,1.0,1.0
15609,2018-03-19,1138209,187078.08,91290,51707.70,2.0,2.0,940.0,0.0,102749.0,64,33,2016,1.0,4.0,2.0,1.0
15615,2018-03-19,1133553,761042.56,497004,571265.00,2.0,3.0,1497.0,0.0,648408.0,64,12,2014,1.0,4.0,5.0,1.0
15624,2018-03-19,1133537,991297.35,582227,341000.00,5.0,3.0,4252.0,51500.0,447631.0,64,3,2010,0.0,13.0,6.0,0.0
15626,2018-03-19,1133174,474704.72,577101,474704.72,4.0,3.0,1878.0,5600.0,724041.0,64,47,2016,0.0,4.0,10.0,0.0
15629,2018-03-19,1130607,1248520.9,715503,1265878.21,4.0,3.0,2590.0,5650.0,1270400.0,64,40,2016,1.0,5.0,5.0,0.0
15646,2018-03-19,1137930,262472.26,176374,217800.00,4.0,2.0,1540.0,8025.0,200110.0,64,44,2016,0.0,7.0,3.0,0.0
15652,2018-03-16,1136067,322962.81,105242,156200.00,1.0,1.0,699.0,0.0,124135.0,27,2,2013,1.0,21.0,1.0,1.0
15658,2018-03-16,1124575,411562.91,210435,411562.91,3.0,2.0,4117.0,13400.0,369224.0,27,10,2016,1.0,5.0,2.0,0.0
15662,2018-03-16,1136062,189572.1,128800,119900.00,3.0,2.0,1464.0,3545.0,157009.0,27,26,2017,1.0,3.0,1.0,1.0
15665,2018-03-16,1136301,671333.4,303989,415650.00,3.0,2.0,2228.0,15000.0,523160.0,27,5,2015,0.0,1.0,7.0,1.0
15668,2018-03-16,1136097,285232.23,168286,141973.52,2.0,2.0,955.0,0.0,199520.0,27,11,2016,1.0,10.0,1.0,1.0
15671,2018-03-15,1135430,519745.29,282560,537223.09,4.0,2.0,1944.0,4223.0,274257.0,114,7,2009,1.0,4.0,4.0,0.0
15675,2018-03-15,1136058,204191.89,118309,144000.00,2.0,2.0,912.0,0.0,149944.0,114,61,2017,1.0,6.0,1.0,1.0
15678,2018-03-15,1137368,234056.44,182291,205000.00,2.0,1.0,1340.0,6600.0,233314.0,114,24,2015,0.0,3.0,1.0,1.0
15686,2018-03-15,1135846,167415.24,146000,151900.00,2.0,2.0,1000.0,0.0,192800.0,114,62,2017,1.0,2.0,1.0,1.0
15689,2018-03-15,1136020,454787.85,270338,249000.00,2.0,2.0,1755.0,6250.0,289986.0,114,10,2011,1.0,1.0,4.0,0.0
15691,2018-03-15,1136720,9287.77,162750,9287.77,3.0,2.0,1325.0,0.0,196474.0,114,68,2017,1.0,2.0,3.0,0.0
15693,2018-03-15,1135863,241203.22,233794,274000.00,3.0,2.0,1741.0,10000.0,325500.0,114,14,2012,1.0,4.0,4.0,0.0
15696,2018-03-15,1135878,418686.27,280001,308000.00,4.0,3.0,2310.0,1943.0,337981.0,114,3,2008,1.0,3.0,4.0,0.0
15697,2018-03-15,1136701,13770.32,234000,15493.82,2.0,2.0,1286.0,0.0,342859.0,114,65,2017,1.0,2.0,1.0,1.0
15704,2018-03-15,1136723,414760.35,157300,205000.00,2.0,2.0,1157.0,0.0,230087.0,114,5,2009,1.0,3.0,1.0,1.0
15705,2018-03-15,1136019,113397.83,174723,106250.00,3.0,2.0,1092.0,5160.0,209320.0,114,43,2016,0.0,8.0,4.0,1.0
15708,2018-03-15,1136704,256917.04,197700,262365.09,2.0,2.0,1139.0,0.0,378200.0,114,56,2017,0.0,3.0,2.0,0.0
15711,2018-03-15,1136705,377724.83,211228,187000.00,3.0,1.0,1169.0,9290.0,232811.0,114,23,2014,1.0,5.0,1.0,1.0
15721,2018-03-15,1136025,237777.47,160946,138345.83,2.0,1.0,986.0,10500.0,213738.0,114,34,2016,1.0,3.0,4.0,1.0
15726,2018-03-15,1136056,60622.85,382528,60622.85,3.0,2.0,2386.0,8000.0,429264.0,114,69,2017,0.0,2.0,1.0,0.0
15733,2018-03-15,1136059,47043.31,189135,47043.31,0.0,1.0,467.0,0.0,204693.0,114,70,2017,1.0,2.0,1.0,1.0
15734,2018-03-15,1136026,691486.97,295611,575000.00,0.0,0.0,2413.0,6877.0,307500.0,114,30,2016,0.0,3.0,1.0,1.0
15746,2018-03-14,1136283,600574.53,280000,710233.01,4.0,2.0,1894.0,1495.0,357354.0,36,12,2012,1.0,6.0,8.0,1.0
15749,2018-03-14,1137937,328601.86,202800,280000.00,3.0,2.0,1466.0,7500.0,285859.0,36,31,2017,0.0,3.0,1.0,1.0
15759,2018-03-14,1127800,160624.4,155778,100000.00,2.0,1.0,754.0,8400.0,139869.0,36,28,2016,0.0,4.0,7.0,0.0
15761,2018-03-14,1135806,349334.55,261503,300000.00,4.0,2.0,1520.0,5000.0,338314.0,36,2,2009,0.0,4.0,3.0,1.0
15767,2018-03-13,1134656,408879.48,269131,249900.00,4.0,2.0,1828.0,3760.0,316392.0,44,3,2009,0.0,3.0,5.0,0.0
15768,2018-03-13,1136894,228295.03,115796,93317.63,1.0,1.0,700.0,0.0,162095.0,44,33,2016,1.0,13.0,3.0,0.0
15769,2018-03-13,1134403,14333.57,40735,14900.00,2.0,2.0,1180.0,0.0,102032.0,44,40,2017,1.0,1.0,1.0,0.0
15770,2018-03-13,1134765,509864.36,289757,544757.21,4.0,2.0,1903.0,6000.0,382607.0,44,23,2015,1.0,4.0,3.0,1.0
15778,2018-03-13,1127692,993010.89,473803,462500.00,5.0,4.0,3294.0,15631.0,553892.0,44,7,2011,1.0,8.0,5.0,0.0
15791,2018-03-13,1129606,203895.78,168068,142500.00,3.0,1.0,1025.0,7020.0,175014.0,44,39,2017,0.0,1.0,4.0,0.0
15792,2018-03-13,1136379,123600.66,240591,185023.89,3.0,2.0,3034.0,10725.0,315100.0,44,8,2012,0.0,2.0,4.0,0.0
15797,2018-03-13,1135045,914168.63,487374,914168.63,5.0,4.0,5047.0,8625.0,624100.0,44,4,2009,0.0,4.0,7.0,0.0
15799,2018-03-13,1134397,284244.13,313629,297642.50,5.0,2.0,1940.0,5600.0,437740.0,44,31,2016,0.0,4.0,3.0,0.0
15800,2018-03-13,1135372,566729.79,304589,366000.00,6.0,4.0,3379.0,6000.0,364406.0,44,11,2012,1.0,2.0,6.0,0.0
15801,2018-03-13,1134740,277397.99,246764,220500.00,3.0,1.0,1410.0,7800.0,266471.0,44,30,2016,0.0,3.0,5.0,1.0
15807,2018-03-13,1135119,654577.48,417854,377655.00,4.0,4.0,2964.0,7125.0,510587.0,44,41,2017,1.0,5.0,2.0,0.0
15808,2018-03-12,1132719,73468.19,65835,75878.51,2.0,2.0,1025.0,0.0,81102.0,33,13,2016,1.0,13.0,3.0,1.0
15810,2018-03-12,1135121,273102.32,226183,208200.00,3.0,2.0,1455.0,7826.0,240976.0,33,16,2016,1.0,5.0,1.0,1.0
15817,2018-03-12,1132716,506606.44,199000,194400.00,4.0,2.0,2040.0,2563.0,747387.0,33,12,2016,1.0,3.0,3.0,1.0
15818,2018-03-12,1132554,436619.32,281376,220660.67,3.0,2.0,1680.0,7000.0,328844.0,33,17,2016,0.0,2.0,3.0,1.0
