,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
2549,2020-02-10,1240929,322929.28,251126,4.0,3.0,2620.0,4060.0,353347.0,68,20,2017,1.0,3.0,3.0,169100.0
2550,2020-02-10,1244682,578035.56,280398,4.0,3.0,2326.0,7000.0,430710.0,68,21,2017,1.0,2.0,2.0,361100.0
2553,2020-02-10,1242369,556876.48,325646,4.0,3.0,2723.0,9533.0,484045.0,68,1,2009,1.0,8.0,7.0,287100.0
2582,2020-02-10,1248030,143526.26,100824,3.0,2.0,1394.0,9375.0,298098.0,68,64,2019,0.0,2.0,2.0,140000.0
2587,2020-02-10,1232160,478625.73,182015,4.0,2.0,1967.0,15000.0,278096.0,68,53,2019,0.0,1.0,1.0,360100.0
2589,2020-02-10,1247269,350571.19,147297,5.0,3.0,2338.0,7500.0,313246.0,68,30,2017,0.0,5.0,1.0,3300.0
2602,2020-02-05,1236060,887424.7,483981,5.0,4.0,3585.0,15600.0,740954.0,28,22,2018,1.0,4.0,1.0,607200.0
2619,2020-02-05,1236221,466943.2,234984,4.0,2.0,1943.0,9125.0,375146.0,28,23,2019,0.0,2.0,1.0,251600.0
2620,2020-02-05,1243613,568365.97,275280,3.0,2.0,1352.0,13616.0,371162.0,28,5,2017,0.0,19.0,2.0,169100.0
2632,2020-02-04,1244900,1942551.89,910742,4.0,4.0,3415.0,18484.0,1270593.0,26,5,2015,0.0,6.0,5.0,300100.0
2634,2020-02-04,1236172,297114.48,58747,3.0,2.0,1811.0,3350.0,164016.0,26,19,2018,1.0,3.0,1.0,180900.0
2647,2020-02-03,1245795,389061.67,154012,2.0,1.0,832.0,8250.0,258500.0,63,63,2019,0.0,3.0,1.0,121000.0
2650,2020-02-03,1245792,580357.0,272208,4.0,2.0,2452.0,18720.0,491664.0,63,57,2019,0.0,2.0,1.0,385900.0
2658,2020-02-03,1243902,458787.93,252227,3.0,2.0,1350.0,3603.0,329922.0,63,28,2018,0.0,4.0,1.0,280900.0
2674,2020-02-03,1247497,653919.12,234171,3.0,2.0,3114.0,17400.0,498488.0,63,54,2019,0.0,3.0,1.0,169100.0
2684,2020-02-03,1235646,530052.29,258723,3.0,2.0,1454.0,5892.0,373194.0,63,24,2018,1.0,9.0,1.0,169100.0
2694,2020-02-03,1243896,342968.59,169434,1.0,1.0,1818.0,4400.0,255700.0,63,27,2018,0.0,3.0,1.0,227600.0
2698,2020-02-03,1243906,1002517.91,928525,6.0,4.0,4171.0,15000.0,1592959.0,63,21,2017,0.0,3.0,3.0,500100.0
2717,2020-01-28,1243955,150808.1,189746,3.0,2.0,1035.0,30100.0,277092.0,25,14,2018,0.0,2.0,3.0,50100.0
2720,2020-01-28,1240346,1142965.31,1015496,4.0,3.0,2745.0,11616.0,1293153.0,25,7,2015,0.0,5.0,8.0,800600.0
2721,2020-01-28,1238870,479023.06,284425,3.0,2.0,2275.0,5300.0,343800.0,25,5,2014,0.0,10.0,1.0,270200.0
2723,2020-01-28,1242919,386634.5,406931,3.0,2.0,1905.0,5865.0,457456.0,25,18,2018,1.0,6.0,1.0,345200.0
2728,2020-01-28,1245926,212489.09,127050,3.0,1.0,1058.0,1870.0,217500.0,25,25,2019,0.0,5.0,1.0,140800.0
2731,2020-01-27,1235253,1294392.9,738505,4.0,4.0,5080.0,209523.6,262400.0,76,34,2018,0.0,8.0,1.0,350100.0
2738,2020-01-27,1247230,186685.21,113322,3.0,1.0,1104.0,9000.0,266356.0,76,51,2018,0.0,3.0,1.0,155500.0
2743,2020-01-27,1242928,224180.52,100319,3.0,2.0,1640.0,2280.0,283803.0,76,12,2015,1.0,1.0,3.0,221600.0
2747,2020-01-27,1245669,366406.74,258652,2.0,2.0,2027.0,9375.0,399775.0,76,45,2018,0.0,6.0,1.0,220800.0
2754,2020-01-27,1231231,850356.1,376255,4.0,2.0,2267.0,46609.2,360300.0,76,36,2018,1.0,3.0,1.0,600100.0
2755,2020-01-27,1245639,340014.71,256904,4.0,2.0,1829.0,5512.0,352392.0,76,75,2019,0.0,5.0,1.0,286100.0
2759,2020-01-27,1247923,319450.46,145476,2.0,1.0,1429.0,10584.0,384624.0,76,74,2019,0.0,3.0,2.0,299000.0
2796,2020-01-27,1242899,363280.69,358959,2.0,2.0,1410.0,7755.0,564764.0,76,18,2016,0.0,2.0,9.0,50100.0
