,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
210,2021-01-12,1278205,717705.7,529892,4.0,3.0,3632.0,18091.0,881958.0,41,38,2020,1.0,5.0,2.0,0.0
211,2021-01-12,1278876,12687.84,145625,2.0,2.0,1089.0,2520.0,256820.0,41,32,2019,1.0,1.0,1.0,1.0
212,2021-01-11,1274447,469737.79,386886,4.0,2.0,2605.0,7875.0,536514.0,59,19,2018,1.0,2.0,2.0,0.0
213,2021-01-11,1272000,426647.62,180442,3.0,2.0,2043.0,6681.15,351807.0,59,40,2019,0.0,2.0,1.0,1.0
214,2021-01-11,1271995,504431.91,228065,3.0,3.0,2363.0,5582.0,503738.0,59,4,2012,1.0,6.0,2.0,0.0
215,2021-01-11,1272002,334644.16,152539,5.0,2.0,1617.0,7400.0,324452.0,59,17,2017,1.0,3.0,3.0,0.0
216,2021-01-11,1278951,203563.36,49212,3.0,1.0,912.0,6156.0,234352.0,59,38,2019,0.0,3.0,1.0,0.0
217,2021-01-11,1271996,458159.05,158479,3.0,2.0,2028.0,7600.0,230276.0,59,8,2015,1.0,5.0,5.0,0.0
218,2021-01-11,1272659,1001970.1,274368,4.0,2.0,2943.0,16914.0,779475.0,59,23,2018,0.0,4.0,1.0,0.0
219,2021-01-11,1275431,366278.72,233000,3.0,2.0,1758.0,1521.0,309715.0,59,14,2017,1.0,2.0,1.0,1.0
221,2021-01-11,1277733,341966.65,171249,3.0,2.0,1349.0,6700.0,325323.0,59,7,2015,1.0,6.0,16.0,1.0
223,2021-01-11,1277036,806626.99,206132,2.0,1.0,1420.0,10125.0,482293.0,59,24,2018,0.0,6.0,1.0,0.0
225,2021-01-11,1274160,264251.72,392692,4.0,3.0,2878.0,6829.0,517842.0,59,30,2019,1.0,6.0,1.0,0.0
226,2021-01-11,1279166,814997.52,355169,4.0,2.0,3374.0,20185.5,697205.0,59,6,2014,1.0,4.0,1.0,1.0
227,2021-01-11,1279788,833263.32,368828,2.0,2.0,2651.0,11389.6,736439.0,59,2,2010,0.0,6.0,2.0,0.0
229,2021-01-11,1277559,181073.96,262170,4.0,2.0,2058.0,18447.0,643894.0,59,21,2018,1.0,12.0,6.0,1.0
230,2021-01-11,1273757,463976.11,274404,3.0,1.0,1275.0,8104.0,403939.0,59,5,2013,0.0,2.0,12.0,0.0
231,2021-01-11,1272003,236276.27,77813,3.0,2.0,1352.0,4834.0,306855.0,59,22,2018,0.0,4.0,3.0,0.0
233,2021-01-11,1274452,581020.16,583150,5.0,5.0,3113.0,4050.0,334592.0,59,54,2020,0.0,3.0,2.0,0.0
234,2021-01-11,1272415,33546.37,33595,2.0,1.0,980.0,3675.0,217887.0,59,12,2017,0.0,1.0,4.0,1.0
235,2021-01-11,1275477,337237.68,69884,3.0,2.0,1468.0,10800.0,165632.0,59,46,2019,1.0,1.0,1.0,0.0
236,2021-01-11,1273761,830453.13,267943,5.0,3.0,2602.0,7115.0,494884.0,59,25,2018,0.0,6.0,3.0,0.0
237,2021-01-11,1279820,105195.63,46313,2.0,1.0,1162.0,5500.0,258596.0,59,31,2019,0.0,4.0,1.0,1.0
238,2021-01-11,1274443,456879.1,266230,2.0,1.0,1752.0,6250.0,410978.0,59,26,2018,1.0,5.0,3.0,0.0
239,2021-01-11,1279791,1341520.41,586573,5.0,3.0,3499.0,39204.0,1086617.0,59,33,2019,1.0,5.5,3.0,0.0
241,2021-01-11,1274453,479968.76,437892,4.0,2.0,3704.0,15062.0,713235.0,59,13,2017,1.0,6.0,3.0,0.0
244,2021-01-11,1274065,448457.48,376309,6.0,4.0,2917.0,6000.0,615780.0,59,51,2020,0.0,1.0,1.0,0.0
246,2021-01-11,1273948,217054.84,109130,4.0,3.0,1939.0,8266.0,332086.0,59,3,2011,0.0,2.0,4.0,0.0
248,2021-01-11,1278840,8366.0,172201,3.0,2.0,1432.0,2025.0,234040.0,59,28,2019,1.0,5.0,1.0,1.0
249,2021-01-11,1272969,313953.47,105226,3.0,2.0,1360.0,1550.0,288822.0,59,42,2019,1.0,4.0,2.0,0.0
250,2021-01-11,1274909,389275.63,138616,4.0,2.0,1930.0,8866.0,447067.0,59,44,2019,0.0,4.0,1.0,1.0
251,2021-01-11,1279100,100000.0,613268,4.0,3.0,2965.0,18364.0,1266323.0,59,29,2019,0.0,3.0,1.0,0.0
253,2021-01-11,1279801,164210.87,276837,3.0,1.0,2581.0,7500.0,514478.0,59,50,2020,0.0,3.0,1.0,0.0
255,2021-01-11,1281014,295482.78,167259,2.0,1.0,1085.0,8250.0,327305.0,59,36,2019,0.0,5.0,2.0,1.0
259,2021-01-11,1279821,295354.08,134351,3.0,2.0,1425.0,8080.0,475387.0,59,10,2016,1.0,4.0,1.0,0.0
260,2021-01-11,1276473,314598.0,321010,3.0,2.0,1968.0,21440.0,451910.0,59,47,2019,0.0,1.0,1.0,0.0
262,2021-01-11,1281332,362249.96,108288,3.0,2.0,1457.0,3148.0,294497.0,59,27,2018,1.0,6.0,1.0,0.0
264,2021-01-06,1273834,294340.68,209583,2.0,1.0,1080.0,2498.0,356088.0,75,53,2019,1.0,5.0,1.0,0.0
265,2021-01-06,1277548,570191.77,197201,3.0,1.0,2001.0,5650.0,341517.0,75,5,2014,0.0,3.0,1.0,1.0
266,2021-01-06,1277292,108725.52,115269,2.0,1.0,1795.0,7150.0,382998.0,75,6,2014,0.0,6.0,4.0,0.0
267,2021-01-06,1278743,668737.7,198916,2.0,1.0,1546.0,11072.0,447962.0,75,7,2014,0.0,1.0,1.0,1.0
268,2021-01-06,1273292,734587.06,669266,5.0,5.0,3690.0,5167.0,745455.0,75,51,2019,1.0,3.0,3.0,0.0
269,2021-01-06,1275638,321630.69,189935,4.0,1.0,2093.0,8240.0,392559.0,75,48,2019,1.0,5.0,3.0,0.0
271,2021-01-06,1278039,540443.56,655036,3.0,3.0,3309.0,17535.0,676715.0,75,31,2018,1.0,16.0,5.0,0.0
272,2021-01-06,1278072,767681.99,416244,4.0,3.0,3457.0,5606.72,908719.0,75,29,2018,0.0,2.0,1.0,1.0
274,2021-01-06,1273760,357277.47,274585,3.0,2.0,1644.0,7860.0,362220.0,75,19,2017,0.0,8.0,2.0,0.0
276,2021-01-06,1276117,89163.58,125915,3.0,1.0,1305.0,8775.0,242290.0,75,13,2016,0.0,6.0,9.0,0.0
279,2021-01-06,1276740,270171.12,72869,4.0,2.0,1380.0,6000.0,286874.0,75,18,2017,0.0,4.0,10.0,0.0
280,2021-01-06,1272004,1515519.83,836827,3.0,2.0,3020.0,11000.0,482259.0,75,1,2008,0.0,6.0,3.0,0.0
285,2021-01-06,1273949,10873.36,343308,4.0,2.0,2135.0,6287.0,475280.0,75,49,2019,1.0,1.0,3.0,0.0
286,2021-01-06,1273464,171620.08,154401,3.0,2.0,1699.0,2746.0,334814.0,75,52,2019,0.0,3.0,1.0,0.0
287,2021-01-06,1274910,398797.55,133877,3.0,2.0,1402.0,2985.0,310001.0,75,61,2019,1.0,4.0,1.0,0.0
288,2021-01-06,1278456,377007.24,125592,4.0,2.0,1475.0,3392.0,354381.0,75,65,2019,0.0,3.0,1.0,1.0
290,2021-01-06,1279446,230971.47,156675,3.0,2.0,1410.0,3405.0,357413.0,75,73,2020,0.0,4.0,1.0,0.0
291,2021-01-06,1274469,7803.58,173910,2.0,2.0,1089.0,2250.0,252473.0,75,64,2019,1.0,1.0,1.0,0.0
298,2021-01-06,1274044,262123.37,199960,4.0,3.0,2511.0,4195.0,429814.0,75,2,2010,0.0,3.0,13.0,0.0
299,2021-01-06,1277826,333967.79,289424,3.0,2.0,1524.0,7541.0,409267.0,75,14,2016,1.0,4.0,4.0,1.0
300,2021-01-06,1279691,280020.3,49024,2.0,1.0,1402.0,5000.0,239235.0,75,32,2018,0.0,5.0,1.0,0.0
302,2021-01-06,1278074,48183.29,39492,3.0,2.0,1252.0,7102.0,254077.0,75,71,2020,0.0,2.0,1.0,0.0
303,2021-01-06,1271998,322912.19,163888,3.0,2.0,1812.0,1540.0,332808.0,75,21,2017,1.0,2.0,7.0,0.0
304,2021-01-06,1281378,446283.09,369979,4.0,2.0,2150.0,15960.0,575092.0,75,44,2019,0.0,8.0,1.0,1.0
306,2021-01-06,1273068,250958.29,347744,5.0,3.0,2387.0,11440.0,394992.0,75,33,2018,0.0,9.0,3.0,0.0
312,2021-01-06,1273266,211776.39,201860,3.0,2.0,1650.0,7401.5,268471.0,75,42,2018,0.0,4.0,2.0,0.0
314,2021-01-06,1273950,729095.01,327521,4.0,2.0,1909.0,16048.0,569029.0,75,39,2018,1.0,4.0,3.0,0.0
319,2021-01-06,1279218,11482.91,192500,3.0,2.0,1705.0,1760.0,266478.0,75,10,2016,1.0,2.0,6.0,1.0
321,2021-01-06,1273997,725404.55,366081,4.0,2.0,2458.0,11629.0,458615.0,75,60,2019,0.0,8.0,1.0,1.0
324,2021-01-06,1273959,405172.49,155020,3.0,2.0,1681.0,7178.08,303819.0,75,69,2019,0.0,3.0,2.0,0.0
326,2021-01-06,1275548,354630.41,179888,3.0,1.0,1650.0,7626.0,392142.0,75,70,2020,0.0,5.0,1.0,0.0
327,2021-01-06,1278069,496368.3,160572,3.0,3.0,2020.0,5450.0,534833.0,75,9,2015,1.0,5.0,2.0,0.0
328,2021-01-06,1272482,506114.88,332476,4.0,3.0,1985.0,7772.0,502278.0,75,12,2016,1.0,8.0,7.0,1.0
330,2021-01-06,1277825,214306.18,87642,3.0,2.0,2210.0,6750.0,373660.0,75,37,2018,0.0,2.0,1.0,0.0
331,2021-01-06,1278113,501242.11,243971,3.0,2.0,1780.0,4606.0,307070.0,75,3,2012,0.0,7.0,2.0,1.0
332,2021-01-06,1278921,375886.08,176200,4.0,2.0,1820.0,4829.0,324800.0,75,34,2018,1.0,9.0,2.0,1.0
333,2021-01-06,1277012,85352.65,56713,3.0,1.0,870.0,6750.0,239235.0,75,26,2017,0.0,3.0,6.0,0.0
334,2021-01-06,1276189,1650417.23,1265995,4.0,3.0,3034.0,16841.0,762186.0,75,25,2017,0.0,8.0,1.0,0.0
