,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
3196,2020-01-07,1243748,368414.73,229979,271800.00,4.0,2.0,1700.0,5265.0,347962.0,86,30,2017,0.0,10.0,2.0,600.0
3221,2020-01-06,1240378,96210.4,91572,96210.40,3.0,2.0,1419.0,7500.0,268728.0,211,208,2019,0.0,1.0,1.0,110300.0
3222,2020-01-06,1241127,612099.87,355266,426026.49,3.0,2.0,2050.0,15983.0,634606.0,211,3,2009,1.0,3.0,4.0,535100.0
3223,2020-01-06,1241608,602187.61,258924,640614.61,4.0,2.0,2401.0,9375.0,569417.0,211,108,2018,1.0,2.0,2.0,2100.0
3224,2020-01-06,1225166,689255.72,458842,708226.26,6.0,4.0,3300.0,13816.0,868360.0,211,121,2018,1.0,4.0,1.0,169100.0
3247,2020-01-06,1241590,359859.17,278526,291600.00,4.0,3.0,2224.0,5001.0,359038.0,211,201,2019,0.0,3.0,1.0,30000.0
3251,2020-01-06,1236777,616217.88,609141,687044.82,4.0,3.0,4186.0,15350.0,730230.0,211,63,2017,0.0,5.0,9.0,516000.0
3255,2020-01-06,1243070,159895.67,255801,177531.51,4.0,3.0,1550.0,7420.0,362823.0,211,56,2016,0.0,10.0,3.0,238600.0
3261,2020-01-06,1240596,584929.35,236000,249762.09,4.0,2.0,1780.0,1575.0,277247.0,211,23,2014,1.0,23.0,2.0,249800.0
3275,2020-01-06,1243175,557153.66,292900,355500.00,3.0,2.0,2007.0,3380.0,365561.0,211,167,2019,1.0,3.0,1.0,1300.0
3286,2020-01-06,1231698,260181.94,155780,200250.00,3.0,2.0,1383.0,3183.0,273736.0,211,183,2019,1.0,5.0,1.0,200300.0
3298,2020-01-06,1240648,554713.79,279115,226980.00,5.0,3.0,2726.0,5211.0,251500.0,211,86,2017,1.0,5.0,1.0,251000.0
3309,2020-01-06,1229008,206685.37,247788,217992.20,4.0,2.0,2006.0,12496.4,291792.0,211,126,2018,0.0,1.0,1.0,220100.0
3320,2020-01-06,1241738,338724.64,88974,234668.00,3.0,1.0,1506.0,9525.0,302452.0,211,185,2019,0.0,7.0,1.0,234700.0
3340,2020-01-06,1238195,111323.15,44052,114098.34,3.0,1.0,1058.0,7500.0,260162.0,211,95,2018,0.0,6.0,1.0,189100.0
3360,2020-01-06,1240477,523218.7,208314,529686.21,4.0,3.0,1950.0,10350.0,443389.0,211,198,2019,1.0,5.0,1.0,169100.0
